INDIAN ELECTIONS-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE ,   CONSTITUENCY,,  NAME,WINNER,   PARTY,  SYMBOL, GENDER,    AGE,       CATEGORY,,      EDUCATION,,          ASSESTS,,    POSTAL VOTES,       LIABILITIES,     TOTAL VOTES,,,,,,,OVERALL, TOTAL VOTES POLLED,,,        MARGIN,
ANDHRA PRADESH,ANAKAPALLE,,C.M.RAMESH,1,BJP,LOTUS,MALE,58,HINDU,,12TH PASS,,"Rs 4,97,60,24,996 ~497 Cr+",,,"Rs 1,01,94,77,007 ~101 Crore",762069,,,,,,,,,,,296530,
ANDHRA PRADESH,RAJAMUNDRY,,DAGGUBATI PURANDESHWARI,1,BJP,LOTUS,FEMALE,67,HINDU,,GRADUATE,,"Rs 62,50,41,146 ~62 Crore+",,,"Rs 6,98,60,440 ~6 Crore+",726515,,,,,,,,,,,239139,
ANDHRA PRADESH,NARSAPURAM,,BHUPATHI RAJU SRINIVASA VARMA ,1,BJP,LOTUS,MALE,56,HINDU,,12TH PASS,,"Rs 7,16,64,809 ~7 Crore+",,,"Rs 1,69,26,961 ~1 Crore+",707343,,,,,,,,,,,276802,
ARUNANCHAL PRADESH,ARUNANCHAL WEST,,KIREN RIJIJU,1,BJP,LOTUS,MALE,53,BUDDHIST,,GRADUATE,,,NIL,,NIL,205417,,,,,,,100738,,,,34561,
ARUNNACHAL PRADESH,ARUNANCHAL EAST,,TAPIR GAO,1,BJP,LOTUS,MALE,59,HINDU,,POST GRADUATE,,"Rs 15,05,37,706 ~15 Crore+",,,NIL,145581,,,,,,,,,,,30421,
ARUNANCHAL PRADESH,ARUNANCHAL EAST,,BOSIRAM SRIRAM,0,INC,HAND,MALE,57,HINDU,,12TH PASS,,"Rs 17,44,89,335 ~17 Crore+",,,"Rs 12,11,052.51 ~12 Lacs+",115160,,,,,,,,,,,30421,
ARUNANCHAL PRADESH,ARUNANCHAL EAST,,TAMAT GAMOH,0,INDEPENDENT,NIL,MALE,55,NIL,,GRADUATE,,NIL,,,NIL,27603,,,,,,,,,,,117978,
ARUNANCHAL PRADESH,ARUNANCHAL EAST,,OMAK NITIK,0,INDEPENDENT,NIL,MALE,30,HINDU,,GRADUATE,,"Rs 10,36,674 ~10 Lacs+",,,NIL,9369,,,,,,,136212,,,,136212,
ARUNANCHAL PRADESH,ARUNANCHAL EAST,,BANDEY MILI,0,DEMOCRATIC,NIL,MALE,43,NIL,,12TH PASS,,"Rs 3,47,40,988 ~3 Crore+",,,NIL,6622,,,,,,,138959,,,,138959,
ASSAM,DARRANG-UDALGURI,,DILIP SAIKIA,1,BJP,LOTUS,MALE,50,HINDU,,GRADUATE,,"Rs 2,64,42,931 ~2 Crore+",,,"Rs 37,30,107 ~37 Lacs+",868387,,,,,,,,,,,329012,
